書名,特集タイトル,URL
ユリイカ2004年2月号,特集＝小川洋子,https://www.seidosha.co.jp/book/index.php?id=2565&status=published
ユリイカ2004年1月号,特集＝クマのプーさん,https://www.seidosha.co.jp/book/index.php?id=2564&status=published
ユリイカ2005年12月号,特集＝野坂昭如,https://www.seidosha.co.jp/book/index.php?id=2563&status=published
ユリイカ2005年11月号,特集＝文化系女子カタログ,https://www.seidosha.co.jp/book/index.php?id=2562&status=published
ユリイカ2005年10月号,特集＝攻殻機動隊,https://www.seidosha.co.jp/book/index.php?id=2561&status=published
ユリイカ2005年9月号,特集＝水木しげる,https://www.seidosha.co.jp/book/index.php?id=2560&status=published
ユリイカ2005年8月臨時増刊号,総特集＝オタクVSサブカル！,https://www.seidosha.co.jp/book/index.php?id=2559&status=published
ユリイカ2005年8月号,特集＝雑誌の黄金時代,https://www.seidosha.co.jp/book/index.php?id=2558&status=published
ユリイカ2005年7月号,特集＝この小劇場を観よ！,https://www.seidosha.co.jp/book/index.php?id=2557&status=published
ユリイカ2005年6月号,特集＝ムーンライダーズ,https://www.seidosha.co.jp/book/index.php?id=2556&status=published
ユリイカ2005年5月号,特集＝人形愛,https://www.seidosha.co.jp/book/index.php?id=2555&status=published
ユリイカ2005年4月号,特集＝ブログ作法,https://www.seidosha.co.jp/book/index.php?id=2554&status=published
ユリイカ2005年3月号,特集＝ポスト・ノイズ,https://www.seidosha.co.jp/book/index.php?id=2553&status=published
ユリイカ2005年2月号,特集＝ギャグまんが大行進,https://www.seidosha.co.jp/book/index.php?id=2552&status=published
ユリイカ2005年1月号,特集＝翻訳作法,https://www.seidosha.co.jp/book/index.php?id=2551&status=published
ユリイカ2006年12月号,特集＝監督系女子ファイル,https://www.seidosha.co.jp/book/index.php?id=2550&status=published
ユリイカ2006年11月臨時増刊号,総特集＝宮沢章夫,https://www.seidosha.co.jp/book/index.php?id=2549&status=published
ユリイカ2006年11月号,特集＝大竹伸朗,https://www.seidosha.co.jp/book/index.php?id=2548&status=published
ユリイカ2006年10月号,特集＝吉田健一,https://www.seidosha.co.jp/book/index.php?id=2547&status=published
ユリイカ2006年9月臨時増刊号,総特集＝稲垣足穂,https://www.seidosha.co.jp/book/index.php?id=2546&status=published
ユリイカ2006年9月号,特集＝理想の教科書,https://www.seidosha.co.jp/book/index.php?id=2545&status=published
ユリイカ2006年8月臨時増刊号,総特集＝アーシュラ・Ｋ・ル=グウィン,https://www.seidosha.co.jp/book/index.php?id=2544&status=published
ユリイカ2006年8月号,特集＝古川日出男,https://www.seidosha.co.jp/book/index.php?id=2543&status=published
ユリイカ2006年7月号,特集＝西原理恵子,https://www.seidosha.co.jp/book/index.php?id=2542&status=published
ユリイカ2006年6月号,特集＝任天堂／Nintendo,https://www.seidosha.co.jp/book/index.php?id=2541&status=published
ユリイカ2006年5月号,特集＝藤田嗣治,https://www.seidosha.co.jp/book/index.php?id=2540&status=published
ユリイカ2006年4月号,特集＝菊地成孔,https://www.seidosha.co.jp/book/index.php?id=2539&status=published
ユリイカ2006年3月号,特集＝マドンナ,https://www.seidosha.co.jp/book/index.php?id=2538&status=published
ユリイカ2006年2月号,特集＝ニート,https://www.seidosha.co.jp/book/index.php?id=2537&status=published
ユリイカ2006年1月号,特集＝マンガ批評の最前線,https://www.seidosha.co.jp/book/index.php?id=2536&status=published
ユリイカ2007年12月臨時増刊号,総特集＝ＢＬスタディーズ,https://www.seidosha.co.jp/book/index.php?id=2535&status=published
ユリイカ2007年12月号,特集＝森茉莉,https://www.seidosha.co.jp/book/index.php?id=2534&status=published
ユリイカ2007年11月臨時増刊号,総特集＝荒木飛呂彦,https://www.seidosha.co.jp/book/index.php?id=2533&status=published
ユリイカ2007年11月号,特集＝ドストエフスキー,https://www.seidosha.co.jp/book/index.php?id=2532&status=published
ユリイカ2007年10月号,特集＝北欧神話の世界,https://www.seidosha.co.jp/book/index.php?id=2531&status=published
ユリイカ2007年9月号,特集＝安彦良和,https://www.seidosha.co.jp/book/index.php?id=2530&status=published
ユリイカ2007年8月号,特集＝澁澤龍彦,https://www.seidosha.co.jp/book/index.php?id=2529&status=published
ユリイカ2007年7月臨時増刊号,総特集＝大友良英,https://www.seidosha.co.jp/book/index.php?id=2948&status=published
ユリイカ2007年7月号,特集＝石井桃子,https://www.seidosha.co.jp/book/index.php?id=2528&status=published
ユリイカ2007年6月臨時増刊号,総特集＝腐女子マンガ大系,https://www.seidosha.co.jp/book/index.php?id=2527&status=published
ユリイカ2007年6月号,特集＝上橋菜穂子,https://www.seidosha.co.jp/book/index.php?id=2526&status=published
ユリイカ2007年5月号,特集＝ル・コルビュジエ,https://www.seidosha.co.jp/book/index.php?id=2525&status=published
ユリイカ2007年4月号,特集＝米澤穂信,https://www.seidosha.co.jp/book/index.php?id=2524&status=published
ユリイカ2007年3月号,特集＝レオナルド・ダ・ヴィンチ,https://www.seidosha.co.jp/book/index.php?id=2523&status=published
ユリイカ2007年2月号,特集＝戦後日本のジャズ文化,https://www.seidosha.co.jp/book/index.php?id=2522&status=published
ユリイカ2007年1月号,特集＝松本大洋,https://www.seidosha.co.jp/book/index.php?id=2521&status=published
ユリイカ2008年12月臨時増刊号,総特集＝初音ミク,https://www.seidosha.co.jp/book/index.php?id=2520&status=published
ユリイカ2008年12月号,特集＝母と娘の物語,https://www.seidosha.co.jp/book/index.php?id=2519&status=published
ユリイカ2008年11月号,特集＝パブロ・ピカソ,https://www.seidosha.co.jp/book/index.php?id=2518&status=published
ユリイカ2008年10月臨時増刊号,総特集＝杉浦日向子,https://www.seidosha.co.jp/book/index.php?id=2517&status=published
ユリイカ2008年10月号,特集＝中上健次,https://www.seidosha.co.jp/book/index.php?id=2516&status=published
ユリイカ2008年9月号,特集＝太宰治／坂口安吾,https://www.seidosha.co.jp/book/index.php?id=2515&status=published
ユリイカ2008年8月号,特集＝フェルメール,https://www.seidosha.co.jp/book/index.php?id=2514&status=published
ユリイカ2008年7月号,特集＝スピルバーグ,https://www.seidosha.co.jp/book/index.php?id=2513&status=published
ユリイカ2008年6月号,特集＝マンガ批評の新展開,https://www.seidosha.co.jp/book/index.php?id=2512&status=published
ユリイカ2008年5月号,特集＝ラフマニノフ,https://www.seidosha.co.jp/book/index.php?id=2511&status=published
ユリイカ2008年4月号,特集＝詩のことば,https://www.seidosha.co.jp/book/index.php?id=2510&status=published
ユリイカ2008年3月臨時増刊号,総特集＝ジャン・ルノワール,https://www.seidosha.co.jp/book/index.php?id=2509&status=published
ユリイカ2008年3月号,特集＝新しい世界文学,https://www.seidosha.co.jp/book/index.php?id=2508&status=published
ユリイカ2008年2月号,特集＝中島らも,https://www.seidosha.co.jp/book/index.php?id=2507&status=published
ユリイカ2008年1月号,特集＝南方熊楠,https://www.seidosha.co.jp/book/index.php?id=2506&status=published
ユリイカ2009年12月号,特集＝タランティーノ,https://www.seidosha.co.jp/book/index.php?id=2505&status=published
ユリイカ2009年11月号,特集＝若冲,https://www.seidosha.co.jp/book/index.php?id=2504&status=published
ユリイカ2009年10月臨時増刊号,総特集＝ペ・ドゥナ,https://www.seidosha.co.jp/book/index.php?id=2503&status=published
ユリイカ2009年10月号,特集＝福本伸行,https://www.seidosha.co.jp/book/index.php?id=2502&status=published
ユリイカ2009年9月臨時増刊号,総特集＝昆虫主義,https://www.seidosha.co.jp/book/index.php?id=2501&status=published
